sc,level,title,wcag_version,en301549,eaa,bfsg,harmonised,notes
1.1.1,A,Non-text Content,2.0,9.1.1.1,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.2.1,A,Audio-only and Video-only (Prerecorded),2.0,9.1.2.1,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.2.2,A,Captions (Prerecorded),2.0,9.1.2.2,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.2.3,A,Audio Description or Media Alternative (Prerecorded),2.0,9.1.2.3,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.2.4,AA,Captions (Live),2.0,9.1.2.4,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.2.5,AA,Audio Description (Prerecorded),2.0,9.1.2.5,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.3.1,A,Info and Relationships,2.0,9.1.3.1,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.3.2,A,Meaningful Sequence,2.0,9.1.3.2,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.3.3,A,Sensory Characteristics,2.0,9.1.3.3,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.3.4,AA,Orientation,2.1,9.1.3.4,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.3.5,AA,Identify Input Purpose,2.1,9.1.3.5,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.4.1,A,Use of Color,2.0,9.1.4.1,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.4.2,A,Audio Control,2.0,9.1.4.2,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.4.3,AA,Contrast (Minimum),2.0,9.1.4.3,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.4.4,AA,Resize Text,2.0,9.1.4.4,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.4.5,AA,Images of Text,2.0,9.1.4.5,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
1.4.10,AA,Reflow,2.1,9.1.4.10,Annex I (via EN 301 549),"§§ 3, 12 BFSG / BFSGV",true,
